Kennziffer;Raumeinheit;Aggregat;Bildungsrelevante Bevölkerung;Schulabgänger mit Hauptschulabschluss;Schulabgänger mit Hochschulreife;Schulabgänger ohne Abschluss;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Beschäftigte am Wohnort 30-<35 Jahre mit akademischem Abschluss ;Hochqualifizierte
"05515";"Münster, Stadt";"krsfr. Stadt";"9,6";"11,3";"51,5";"5,9";"12,7";"30,1";"6,23";"21,4"
"05554";"Borken";"Landkreis";"12,7";"14,3";"29,2";"5,8";"13,1";"8,1";"1,27";"7,5"
"05558";"Coesfeld";"Landkreis";"11,9";"12,2";"38,4";"4,6";"10,8";"11,3";"1,45";"8,4"
"05562";"Recklinghausen";"Landkreis";"10,8";"16,4";"33,3";"6,5";"12,3";"10,6";"1,54";"9,6"
"05566";"Steinfurt";"Landkreis";"12,4";"14,8";"30,9";"6,5";"13,5";"9,9";"1,42";"9,8"
"05570";"Warendorf";"Landkreis";"12,3";"15,3";"34,7";"4,8";"13,4";"9,7";"1,33";"10,4"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"11,4";"13,3";"39,6";"6,8";"15,9";"18,1";"3,50";"15,8"
"05754";"Gütersloh";"Landkreis";"12,2";"12,5";"34,9";"6,7";"15,4";"9,3";"1,44";"10,1"
"05758";"Herford";"Landkreis";"11,6";"11,8";"39,2";"4,0";"14,9";"9,6";"1,37";"9,1"
"05762";"Höxter";"Landkreis";"11,7";"11,4";"37,0";"5,8";"13,0";"9,2";"1,33";"8,0"
"05766";"Lippe";"Landkreis";"12,1";"17,6";"32,3";"4,8";"13,5";"10,8";"1,57";"11,5"
"05770";"Minden-Lübbecke";"Landkreis";"11,9";"13,7";"39,7";"6,9";"14,4";"9,6";"1,35";"10,1"
"05774";"Paderborn";"Landkreis";"11,9";"14,5";"33,6";"5,1";"13,5";"14,5";"2,65";"13,8"
"05911";"Bochum, Stadt";"krsfr. Stadt";"9,6";"13,9";"40,8";"7,2";"13,2";"19,3";"3,90";"16,0"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"10,5";"15,0";"37,2";"7,2";"14,9";"17,1";"3,26";"16,3"
"05914";"Hagen, Stadt";"krsfr. Stadt";"11,4";"15,6";"38,3";"6,1";"18,1";"9,8";"1,56";"11,3"
"05915";"Hamm, Stadt";"krsfr. Stadt";"11,9";"19,6";"28,9";"6,6";"15,2";"8,4";"1,32";"9,7"
"05916";"Herne, Stadt";"krsfr. Stadt";"10,7";"18,0";"35,7";"9,1";"15,1";"9,1";"1,47";"11,0"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"10,2";"14,9";"40,7";"5,1";"13,0";"13,9";"1,88";"11,4"
"05958";"Hochsauerlandkreis";"Landkreis";"11,5";"17,6";"30,0";"5,6";"14,3";"8,4";"1,34";"8,2"
"05962";"Märkischer Kreis";"Landkreis";"11,4";"15,8";"34,4";"6,2";"17,9";"8,7";"1,21";"9,3"
"05966";"Olpe";"Landkreis";"11,8";"19,9";"35,6";"4,8";"14,8";"8,5";"1,31";"7,7"
"05970";"Siegen-Wittgenstein";"Landkreis";"10,8";"13,4";"37,9";"4,1";"13,5";"11,2";"1,90";"11,3"
"05974";"Soest";"Landkreis";"11,7";"13,0";"36,9";"6,4";"13,3";"11,3";"1,76";"11,3"
"05978";"Unna";"Landkreis";"10,9";"16,3";"39,4";"6,4";"13,9";"10,2";"1,33";"9,2"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"10,2";"11,7";"49,0";"2,9";"14,8";"35,5";"7,32";"30,8"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"10,4";"16,7";"37,2";"6,0";"14,2";"31,7";"7,37";"27,2"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"11,7";"22,8";"29,8";"6,8";"20,4";"15,2";"3,30";"18,4"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"11,4";"15,0";"35,8";"6,5";"14,3";"23,0";"4,18";"22,2"
"06431";"Bergstraße";"Landkreis";"10,8";"14,0";"35,7";"3,5";"11,9";"15,0";"2,07";"12,3"
"06432";"Darmstadt-Dieburg";"Landkreis";"11,4";"16,4";"35,3";"4,6";"12,5";"17,5";"2,28";"12,9"
"06433";"Groß-Gerau";"Landkreis";"11,6";"21,4";"28,4";"5,6";"15,0";"13,4";"2,19";"17,3"
"06434";"Hochtaunuskreis";"Landkreis";"12,4";"16,3";"45,8";"3,6";"10,0";"25,5";"2,92";"26,3"
"06435";"Main-Kinzig-Kreis";"Landkreis";"11,2";"16,4";"28,7";"4,5";"13,3";"12,5";"1,78";"11,2"
"06436";"Main-Taunus-Kreis";"Landkreis";"12,1";"18,9";"37,0";"5,4";"10,4";"24,0";"3,07";"26,9"
"06437";"Odenwaldkreis";"Landkreis";"10,8";"15,4";"31,0";"6,6";"15,3";"9,6";"1,24";"8,8"
"06438";"Offenbach";"Landkreis";"11,5";"19,2";"31,6";"4,6";"13,5";"16,3";"2,45";"17,7"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"11,2";"15,5";"37,6";"4,2";"10,2";"17,3";"2,03";"15,1"
"06440";"Wetteraukreis";"Landkreis";"11,3";"15,0";"40,2";"4,3";"11,8";"16,0";"2,18";"13,0"
"06531";"Gießen";"Landkreis";"10,4";"14,1";"41,2";"4,7";"13,8";"18,7";"3,71";"15,4"
"06532";"Lahn-Dill-Kreis";"Landkreis";"11,2";"19,2";"22,5";"5,2";"13,8";"10,6";"1,59";"10,7"
